,lok_sabha,session,api_data,url,dateOfAttendance
0,15,1,"{'dateOfAttendance': '2009-06-01 00:00:00.0', 'presentCount': 438, 'absentCount': 103}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/01
1,15,1,"{'dateOfAttendance': '2009-06-04 00:00:00.0', 'presentCount': 445, 'absentCount': 96}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/04
2,15,1,"{'dateOfAttendance': '2009-06-02 00:00:00.0', 'presentCount': 454, 'absentCount': 87}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/02
3,15,1,"{'dateOfAttendance': '2009-06-05 00:00:00.0', 'presentCount': 398, 'absentCount': 143}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/05
4,15,1,"{'dateOfAttendance': '2009-06-08 00:00:00.0', 'presentCount': 416, 'absentCount': 125}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/08
5,15,1,"{'dateOfAttendance': '2009-06-03 00:00:00.0', 'presentCount': 448, 'absentCount': 93}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/03
6,15,1,"{'dateOfAttendance': '2009-06-09 00:00:00.0', 'presentCount': 418, 'absentCount': 123}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=1&locale=en,2009/06/09
7,15,2,"{'dateOfAttendance': '2009-07-02 00:00:00.0', 'presentCount': 431, 'absentCount': 111}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/02
8,15,2,"{'dateOfAttendance': '2009-07-03 00:00:00.0', 'presentCount': 443, 'absentCount': 99}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/03
9,15,2,"{'dateOfAttendance': '2009-07-06 00:00:00.0', 'presentCount': 424, 'absentCount': 118}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/06
10,15,2,"{'dateOfAttendance': '2009-07-07 00:00:00.0', 'presentCount': 430, 'absentCount': 111}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/07
11,15,2,"{'dateOfAttendance': '2009-07-08 00:00:00.0', 'presentCount': 430, 'absentCount': 111}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/08
12,15,2,"{'dateOfAttendance': '2009-07-09 00:00:00.0', 'presentCount': 404, 'absentCount': 137}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/09
13,15,2,"{'dateOfAttendance': '2009-07-10 00:00:00.0', 'presentCount': 341, 'absentCount': 201}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/10
14,15,2,"{'dateOfAttendance': '2009-07-13 00:00:00.0', 'presentCount': 375, 'absentCount': 166}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/13
15,15,2,"{'dateOfAttendance': '2009-07-14 00:00:00.0', 'presentCount': 405, 'absentCount': 136}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/14
16,15,2,"{'dateOfAttendance': '2009-07-15 00:00:00.0', 'presentCount': 395, 'absentCount': 146}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/15
17,15,2,"{'dateOfAttendance': '2009-07-16 00:00:00.0', 'presentCount': 388, 'absentCount': 153}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/16
18,15,2,"{'dateOfAttendance': '2009-07-17 00:00:00.0', 'presentCount': 353, 'absentCount': 188}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/17
19,15,2,"{'dateOfAttendance': '2009-07-20 00:00:00.0', 'presentCount': 337, 'absentCount': 204}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/20
20,15,2,"{'dateOfAttendance': '2009-07-21 00:00:00.0', 'presentCount': 373, 'absentCount': 168}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/21
21,15,2,"{'dateOfAttendance': '2009-07-22 00:00:00.0', 'presentCount': 381, 'absentCount': 161}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/22
22,15,2,"{'dateOfAttendance': '2009-07-23 00:00:00.0', 'presentCount': 398, 'absentCount': 145}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/23
23,15,2,"{'dateOfAttendance': '2009-07-24 00:00:00.0', 'presentCount': 333, 'absentCount': 208}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/24
24,15,2,"{'dateOfAttendance': '2009-07-27 00:00:00.0', 'presentCount': 327, 'absentCount': 215}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/27
25,15,2,"{'dateOfAttendance': '2009-07-28 00:00:00.0', 'presentCount': 388, 'absentCount': 156}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/28
26,15,2,"{'dateOfAttendance': '2009-07-29 00:00:00.0', 'presentCount': 389, 'absentCount': 152}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/29
27,15,2,"{'dateOfAttendance': '2009-07-30 00:00:00.0', 'presentCount': 404, 'absentCount': 137}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/30
28,15,2,"{'dateOfAttendance': '2009-07-31 00:00:00.0', 'presentCount': 403, 'absentCount': 138}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/07/31
29,15,2,"{'dateOfAttendance': '2009-08-03 00:00:00.0', 'presentCount': 384, 'absentCount': 157}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/08/03
30,15,2,"{'dateOfAttendance': '2009-08-04 00:00:00.0', 'presentCount': 411, 'absentCount': 130}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/08/04
31,15,2,"{'dateOfAttendance': '2009-08-06 00:00:00.0', 'presentCount': 358, 'absentCount': 183}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/08/06
32,15,2,"{'dateOfAttendance': '2009-08-07 00:00:00.0', 'presentCount': 352, 'absentCount': 189}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=2&locale=en,2009/08/07
33,15,3,"{'dateOfAttendance': '2009-12-04 00:00:00.0', 'presentCount': 304, 'absentCount': 240}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=3&locale=en,2009/12/04
34,15,3,"{'dateOfAttendance': '2009-12-10 00:00:00.0', 'presentCount': 331, 'absentCount': 213}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=3&locale=en,2009/12/10
35,15,3,"{'dateOfAttendance': '2009-11-20 00:00:00.0', 'presentCount': 305, 'absentCount': 239}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=3&locale=en,2009/11/20
36,15,3,"{'dateOfAttendance': '2009-12-07 00:00:00.0', 'presentCount': 315, 'absentCount': 229}",https://sansad.in/api_ls/member/getMemberAttendanceMonthWise?loksabha=15&session=3&locale=en,2009/12/07
