Restaurant ID,Cuisines
7402935,Italian
7402935,Continental
7410290,Asian
7410290,Indonesian
7410290,Western
7420899,Sushi
7420899,Japanese
7421967,Japanese
7422489,French
7422489,Western
18352452,Cafe
18352452,Western
18386856,Indonesian
7423482,Peranakan
7423482,Indonesian
18391256,Western
18391256,Asian
18391256,Cafe
7422633,Sunda
7422633,Indonesian
18425821,Korean
7422751,Desserts
7422751,Bakery
7422751,Western
7400818,Japanese
7400818,Sushi
7400818,Ramen
7417455,Sunda
7417455,Indonesian
7417450,Sunda
7417450,Indonesian
7405789,Cafe
7405789,Italian
7405789,Coffee and Tea
7405789,Western
7405789,Indonesian
18400530,Cafe
18400530,Coffee and Tea
18400530,Western
18370659,Burger
18409146,Seafood
18409146,Western
18408381,Seafood
18408381,Western
7423620,Cafe
7423620,Desserts
7423620,Beverages
2701,European
309548,Asian
309548,Japanese
309548,Korean
309548,Thai
309548,Chinese
2742,North Indian
6300010,European
6300010,Asian
6300010,Indian
301523,European
301523,Continental
2724,North Indian
2724,Chinese
2724,South Indian
2724,Italian
2725,Malaysian
2725,Thai
2725,Kerala
2725,Vietnamese
2725,Sri Lankan
2694,Japanese
2694,Sushi
6812,Japanese
6812,Sushi
2689,Chinese
3910,Continental
3910,North Indian
3910,Italian
3910,Asian
2443,South American
18255131,Chinese
18255131,Italian
18255131,Continental
18255131,North Indian
18345728,Modern Indian
3246,Chinese
18277024,Chinese
18261160,Seafood
18261160,Italian
2681,Chinese
2727,Italian
4907,Finger Food
4910,French
4910,Italian
4496,Mediterranean
4496,European
2690,North Indian
2690,European
2690,Continental
305548,Chinese
18268390,Finger Food
18268390,Italian
18268390,Middle Eastern
307416,Finger Food
3379,Italian
3378,Chinese
306251,Finger Food
3937,Continental
3235,Continental
3235,European
3235,North Indian
3235,French
2675,Spanish
2675,Italian
309110,Continental
3027,Mughlai
3027,North Indian
3027,South Indian
104,Chinese
104,Seafood
2769,Continental
2769,Italian
2769,Mediterranean
2693,Seafood
2693,North Indian
5800710,Seafood
5800710,Italian
312902,Finger Food
312902,Continental
312902,Italian
312902,Chinese
2682,North Indian
3948,Malaysian
3948,Thai
2683,Continental
6300002,Seafood
6300002,Asian
6300002,Filipino
6300002,Indian
18369743,Italian
301562,Thai
301562,Asian
305545,Continental
305545,North Indian
305545,Italian
2004,Modern Indian
4366,Seafood
4366,Chinese
4366,Japanese
4366,Sushi
4366,Thai
4356,Japanese
4356,Thai
4356,Sushi
2739,South Indian
2728,North Indian
4917,North Indian
4917,Mughlai
18376469,Asian
5800746,American
5800746,Steak
5800176,Seafood
311369,North Indian
311369,Continental
311369,European
311369,Chinese
311369,Thai
18425766,Continental
1900,North Indian
305549,Finger Food
3400072,North Indian
3400072,Mughlai
1898,North Indian
1898,Mughlai
2674,European
2674,Continental
4358,North Indian
4358,Continental
4358,Chinese
301559,North Indian
301559,Mediterranean
301559,European
301559,Asian
301559,Chinese
301559,Pizza
304239,European
304239,Italian
304239,North Indian
4357,Cafe
4357,Continental
4357,North Indian
2745,Drinks Only
4503,North Indian
18261157,Pizza
18261157,Salad
18261157,Finger Food
300696,Thai
300695,North Indian
4911,Italian
4911,Continental
2770,Continental
2770,Italian
2770,American
2770,North Indian
8351,North Indian
5800758,Cafe
5800758,Fast Food
5800758,Beverages
18422475,Japanese
18422475,Sushi
4283,European
4283,Italian
4283,North Indian
75989,French
8241,Continental
8241,North Indian
8241,European
8241,Finger Food
4374,European
4374,North Indian
301422,Chinese
4840,North Indian
4840,Continental
4840,Asian
3924,Mediterranean
3924,Continental
3924,North Indian
3924,Italian
6315438,Seafood
6315438,American
6315438,Mediterranean
6315438,Japanese
18361778,North Indian
18361778,Asian
18361778,European
7516,European
7516,Italian
5720,Continental
5720,Finger Food
7573,North Indian
7573,Mughlai
5717,Finger Food
5042,Japanese
5042,Chinese
5042,Thai
5044,Italian
5046,North Indian
5046,Asian
310700,Chinese
310699,Continental
2710,Japanese
2300187,North Indian
2300187,Chinese
18466422,Finger Food
18264992,Mughlai
18264992,Street Food
307361,Italian
307361,North Indian
307361,Continental
307801,Italian
4367,Continental
4367,North Indian
4367,Italian
18372578,Finger Food
4502,European
4502,Continental
4502,North Indian
4235,North Indian
4234,European
4234,Continental
4234,North Indian
6600,Finger Food
4373,North Indian
4373,Continental
18415386,Continental
18415386,North Indian
302282,Thai
3545,North Indian
3545,Continental
3545,Italian
3547,North Indian
3547,Mughlai
18382353,Continental
18382353,American
18382353,North Indian
4889,Continental
4889,Italian
4889,North Indian
18133508,North Indian
18133508,Continental
18133508,Asian
2741,Chinese
2741,Thai
2741,Japanese
3239,Italian
3239,Continental
3239,Finger Food
2729,Finger Food
301524,Finger Food
3283,North Indian
3283,Continental
3283,Italian
2768,Mughlai
2768,Italian
2768,Finger Food
2768,Middle Eastern
3202,Finger Food
9709,Continental
9709,Thai
9709,Chinese
9709,North Indian
5800316,Continental
5800316,American
5800316,Seafood
5800433,American
5800433,Fast Food
5800433,Steak
5800433,Beverages
304931,Japanese
304931,Sushi
5608,Mughlai
5608,North Indian
5608,Chinese
1669,Continental
1669,Chinese
1669,North Indian
18441709,Chinese
18441709,North Indian
18441709,Italian
18469938,European
18469938,Sushi
18469938,Italian
300688,North Indian
300688,Italian
3227,American
3227,Finger Food
300697,Finger Food
1188,European
1188,Lebanese
1188,Mediterranean
3695,Asian
3695,Continental
3695,Italian
3695,North Indian
3400059,North Indian
3400059,Mughlai
3400060,Mughlai
300713,North Indian
300713,Chinese
5876,North Indian
5876,Chinese
5876,Continental
18441707,Chinese
18441707,North Indian
18441707,Italian
306133,Pizza
306133,Italian
305905,Mediterranean
305905,Mexican
305905,North Indian
305905,American
18255106,Finger Food
18255106,North Indian
18255106,Italian
18255106,European
18255106,Continental
305400,North Indian
305400,Chinese
305400,Continental
3855,American
3855,Seafood
3855,Italian
3855,Japanese
3855,Thai
1245,American
1245,Tex-Mex
3575,Korean
18306533,Continental
3961,Continental
3961,North Indian
18291211,Mughlai
18291211,Lucknowi
18291211,Awadhi
7496,North Indian
7496,Continental
7496,Chinese
18291200,Japanese
18291200,Thai
18291200,Italian
18291200,Asian
18291198,Italian
18291198,Burger
18291198,Charcoal Grill
102216,Chinese
102216,Asian
3295,Japanese
3295,Korean
5997,Finger Food
3719,American
3719,Tex-Mex
18294261,European
18294261,Chinese
18294261,North Indian
18294261,Italian
64,Italian
3400,Korean
1267,North Indian
4364,Continental
4364,Chinese
4364,Japanese
4364,North Indian
4364,Thai
310365,Finger Food
4365,Cafe
3264,Finger Food
8521,North Indian
8521,Chinese
8521,Continental
4499,Chinese
4501,North Indian
4501,Mughlai
310674,Continental
310674,Kashmiri
310674,Italian
310674,North Indian
310674,Moroccan
307802,Japanese
307802,Thai
307802,Italian
307802,Asian
18265677,Italian
18265677,Continental
310348,North Indian
310348,Continental
310348,Chinese
310348,Fast Food
18408062,North Indian
3549,Finger Food
4488,Finger Food
18463567,South American
309852,North Indian
309852,Chinese
309852,Finger Food
4404,Continental
4404,North Indian
4404,South Indian
4404,Italian
306198,Mediterranean
306198,Italian
2731,European
2731,Desserts
5325,Thai
5325,Chinese
5325,Japanese
2688,Cafe
312319,North Indian
312319,Asian
312319,Continental
18282047,Mexican
3212,European
3212,North Indian
3212,Chinese
1244,American
1244,Tex-Mex
5800567,Italian
5800567,Cafe
5800567,Desserts
5800590,Cafe
5800590,Sri Lankan
5800590,Continental
5800590,American
5800755,Sri Lankan
58268,Asian
3288,Finger Food
929,Italian
929,Tex-Mex
929,Continental
929,North Indian
3393,North Indian
3393,Chinese
3393,Mughlai
307330,Continental
307330,Italian
18359296,North Indian
18359296,Mughlai
18359296,Chinese
3237,North Indian
3237,Continental
3237,Chinese
5801078,Middle Eastern
5801078,Arabian
18175334,North Indian
18175334,Asian
18175334,Continental
308016,Mediterranean
308016,European
308016,American
308016,North Indian
102215,North Indian
102215,Chinese
102215,Continental
102215,Rajasthani
306581,European
306581,Italian
121120,Italian
18306521,Chinese
18306521,Italian
18306521,North Indian
308022,Modern Indian
2148,Italian
312668,Finger Food
1670,Continental
1670,American
1670,North Indian
1670,Chinese
18434414,Continental
18434414,Chinese
18434414,North Indian
4905,Chinese
4905,Japanese
4905,Thai
4905,Malaysian
4905,Vietnamese
4905,Asian
312603,European
312603,Chinese
312603,North Indian
312603,Italian
18233593,Modern Indian
910,North Indian
910,European
910,Asian
910,Mediterranean
3620,European
3620,Italian
4821,Continental
4821,North Indian
4821,Italian
18408040,European
18408040,Chinese
18408040,North Indian
18408040,Italian
17977751,Continental
17977751,Italian
17977751,North Indian
18255171,Japanese
18255171,French
4341,North Indian
4341,Mughlai
5448,North Indian
18294265,European
18294265,Chinese
18294265,North Indian
18294265,Italian
3298,Chinese
3298,North Indian
3403,Continental
3403,European
18264963,Continental
18264963,North Indian
18264963,European
18264963,Asian
3955,Continental
3955,North Indian
3955,Chinese
311305,Continental
311305,Seafood
311305,North Indian
18317498,Finger Food
3226,Continental
3226,North Indian
3226,Mexican
4248,North Indian
4248,Mughlai
17977757,Drinks Only
18252386,Chinese
18252386,Continental
18252386,North Indian
18252386,Mexican
308579,Continental
308579,North Indian
308579,Italian
308579,Asian
18466978,Continental
18466978,North Indian
311982,North Indian
311982,Lebanese
311982,European
311982,Mexican
18255125,European
313207,American
313207,European
18277165,Asian
4752,North Indian
4752,European
4752,Chinese
6506206,North Indian
6506206,Mediterranean
6506206,Chinese
6300781,Asian
6300781,European
6301290,Seafood
6301290,Filipino
6301290,Asian
6301290,European
3400325,North Indian
3400325,European
51705,Italian
51705,American
51705,Pizza
65055,North Indian
65055,Continental
130332,Finger Food
18022206,Seafood
2787,North Indian
2787,Mughlai
306956,Mediterranean
306956,Italian
306956,European
307309,Continental
307309,Italian
306134,Italian
306134,European
306946,Continental
306946,American
306946,Italian
306946,Seafood
306946,North Indian
306946,Cafe
306153,North Indian
310737,North Indian
310737,Continental
310737,Chinese
310737,Japanese
310737,Italian
310737,Thai
7518,Pizza
7518,Italian
311805,North Indian
311805,Chinese
4719,North Indian
4719,Mughlai
303960,Finger Food
303960,American
303960,Continental
303960,North Indian
303960,Italian
307580,Burmese
307580,Chinese
307580,Japanese
307580,Malaysian
307580,Thai
18441771,Seafood
18441771,Mediterranean
6700,North Indian
6700,Continental
6700,Chinese
997,Chinese
997,Asian
8913,North Indian
8913,Continental
8913,Mughlai
8913,Asian
3243,Korean
3243,Chinese
4398,North Indian
4398,Mughlai
4398,Asian
4398,Continental
18446415,Continental
18446415,Burger
18446415,Pizza
18446415,North Indian
18446415,European
18446415,Finger Food
301499,Goan
7231,Mughlai
7231,Lucknowi
7231,Awadhi
2711,Finger Food
6690,Cafe
93766,Mediterranean
93766,Italian
93766,European
1400169,North Indian
1400169,Continental
1400169,Mexican
1400169,Italian
18209498,Italian
18209498,Bakery
18209498,Continental
801384,North Indian
801384,Continental
801384,South Indian
801384,Chinese
801384,Thai
801384,Asian
15705,Mediterranean
15705,Chinese
15705,Continental
819,Chinese
819,Japanese
819,Thai
3089,North Indian
3089,Italian
3089,Fast Food
66,North Indian
66,Continental
66,European
7713,North Indian
7713,Chinese
7713,Continental
7713,Italian
306913,North Indian
306913,Chinese
306913,Italian
306913,American
306913,Middle Eastern
310123,Japanese
307362,Finger Food
760,Italian
9969,Finger Food
9969,North Indian
9969,Italian
18237320,North Indian
18237320,Continental
300007,Burmese
300007,Chinese
300007,Japanese
300007,Malaysian
300007,Thai
18203180,Continental
18203180,North Indian
18203180,Asian
18241869,Modern Indian
18462002,Turkish
18462002,Mediterranean
18462002,Middle Eastern
8893,Continental
8893,Italian
306510,Continental
306510,Chinese
306510,Thai
306510,Mediterranean
422,North Indian
422,Kashmiri
422,Chinese
422,Thai
422,Korean
3260,Finger Food
3260,North Indian
3260,Chinese
18419892,Finger Food
