video_id,video_views,video_likes,video_comments
FwjaHCVNBWA,537924,12049,649
QKIGsShyEsQ,90910,2263,239
JFA7H1uJ8wU,191838,8921,194
sk-lnOX_9No,33525,561,44
8qWtU51lxpM,48829,1397,70
fYZGUjbsoA8,82414,1509,65
pCJ15nGFgVg,1841373,47093,2387
wUSDVGivd-8,1096120,29607,904
qdhMfuGi0tA,90083,2230,310
vUKr5O-94z0,54379,1295,124
7mz73uXD9DA,1151370,29742,1151
Tfqj7tZdfTM,42801,1082,66
z7t95HqI5Ok,67871,1095,48
uhyMqbZI6rM,727392,10464,183
F1ILGTXKUQM,1014047,12700,338
_gF2Mj1354M,307893,9374,216
ayw72SHkAKY,44340,1568,72
nm46I3KboxI,18755,433,31
0Is021E-Vps,32042,652,65
FonhIV-dKc4,25217,876,67
H0kb2jGXUuU,37408,684,59
pGpr_08A7hs,13706,612,53
pgruiW6hYnA,16726,545,15
s6g-Ki0iemI,97086,2401,117
NSue6pT_u-Q,151291,2048,111
N5cN69EU3aI,23603,861,66
cOhGrBwZZqE,454870,6997,338
xEapC6NkHM0,118129,2036,117
hoTS5pIKgPU,246121,4361,310
WSkcsrFCCXM,296497,4968,191
uyCXLr7cgrs,70385,1395,113
r9imv1z82jQ,0,0,0
Ss9SvcRORsk,164656,7069,268
9Ql_Lr7nQN4,124376,5268,10
u2HAzOhazEA,57296,4132,38
FR_6qEu2kko,89432,5456,27
lFdUVtCrEnk,29871,2162,37
lsBzCZuKzbM,31678,1997,17
TwRNsBpWmfg,27446,1767,12
EzOQDazdjIw,66772,3047,26
60TtNPlq3_k,97920,4830,29
-w0JrQd17Hw,33487,1488,24
ba13LRncDtQ,36126,1428,10
jdqWbzwm1IU,8916,420,0
BL1w5chqt8U,15546,974,10
CTLgC4AaOtM,61842,4213,28
Zgx6dwZRov4,23354,1788,18
tJAzELZv4gE,119818,4585,27
J5RRIF2a1NM,288268,13611,103
7G_Kz5MOqps,306947,15669,1183
ZRbqNRChcds,14356,1362,27
-fCTVK7v8UY,27944,2336,35
-hsjqUcMDLo,8632,482,13
X7P2Yi-OU50,45826,2688,19
1AS682khWwA,21680,1098,12
LEY6RpAW98g,9284,579,14
5wM82xc06aM,39799,2071,50
WxuORWSe63k,18623,1264,28
WrNvDniOUwo,162938,10436,82
YrubB5aXStY,32942,1651,33
LDds33bJy6g,48257,2638,41
cPbWjaLPHkc,16105,1567,24
0qcsqdeDbc0,64882,3373,62
i0B9TSum6bg,220934,14556,106
sWdNrpapwOI,15784,1021,13
2NKuvqo_cGc,36433,2471,33
gUxi4lfXR5s,24174,1974,9
F_Nd1oQqK8E,60640,4222,21
ut7YKiHHfRk,25914,1713,13
NIOg6lJX8rQ,7709,365,11
ohB5kjKGLGc,136582,4489,70
u3QcbYNUgtU,36036,2736,49
2KZ-0ZaNYZI,8044,311,18
emB44aQTVhI,29566,1591,17
cJuA3ZU34sg,54178,2968,31
zOYBpfRA12U,11410,484,12
NjdtctYbrLk,20454,1505,14
bnNGZBnbvuo,16577,1316,4
uhRUtVHbNHc,126577,1926,75
qKMOVoW18sQ,222033,9527,63
ObxO_F_7RrA,36847,1422,32
iNEwkaYmPqY,450426,16520,526
6A61WwOJQS4,32094,2427,24
BIfhY3U7FMg,38214,2264,18
pPy3sbeGNjQ,668766,18171,384
FTpYtRaAqWU,52066,2770,59
vRbgun8ryVE,78601,3618,389
0R1LCYpiQsw,50706,1887,130
AopGnnPPczY,126502,4188,183
tBfIh3VQX2o,116318,5114,300
i8PKI_zJfDU,50132,2168,264
lw6sPHH7twk,459427,14537,556
5Q0gB7imNOo,346106,14626,348
MSlIfGSI6bo,525140,16244,975
NQSe-SuykJU,131107,6069,207
W5qAY4XidHE,143534,6910,368
09JnFEdZe2A,215265,10535,314
GEBzsz8ZSXs,916056,31050,901
NAuuqdzC_rI,185233,5039,459
CC66RXeTn_4,1639680,65072,1369
aqRxZSrJLEc,624967,27617,814
U4vh2EClJic,259596,5417,477
egtF-C5WIpk,544176,19446,449
