video_id,video_duration,video_quality,video_kind
FwjaHCVNBWA,08:24:31,hd,youtube#video
QKIGsShyEsQ,06:26:17,hd,youtube#video
JFA7H1uJ8wU,00:10:22,hd,youtube#video
sk-lnOX_9No,00:10:58,hd,youtube#video
8qWtU51lxpM,00:37:40,hd,youtube#video
fYZGUjbsoA8,00:33:34,hd,youtube#video
pCJ15nGFgVg,10:59:43,hd,youtube#video
wUSDVGivd-8,11:09:41,hd,youtube#video
qdhMfuGi0tA,00:11:34,hd,youtube#video
vUKr5O-94z0,00:09:32,hd,youtube#video
7mz73uXD9DA,04:08:41,hd,youtube#video
Tfqj7tZdfTM,00:10:59,hd,youtube#video
z7t95HqI5Ok,00:10:49,hd,youtube#video
uhyMqbZI6rM,03:35:30,hd,youtube#video
F1ILGTXKUQM,00:10:05,hd,youtube#video
_gF2Mj1354M,00:13:17,hd,youtube#video
ayw72SHkAKY,00:16:39,hd,youtube#video
nm46I3KboxI,00:08:27,hd,youtube#video
0Is021E-Vps,00:09:44,hd,youtube#video
FonhIV-dKc4,00:04:29,hd,youtube#video
H0kb2jGXUuU,00:08:34,hd,youtube#video
pGpr_08A7hs,00:14:58,hd,youtube#video
pgruiW6hYnA,00:00:57,hd,youtube#video
s6g-Ki0iemI,01:07:10,hd,youtube#video
NSue6pT_u-Q,00:05:44,hd,youtube#video
N5cN69EU3aI,00:05:31,hd,youtube#video
cOhGrBwZZqE,00:14:37,hd,youtube#video
xEapC6NkHM0,00:10:14,hd,youtube#video
hoTS5pIKgPU,00:10:39,hd,youtube#video
WSkcsrFCCXM,00:13:41,hd,youtube#video
uyCXLr7cgrs,00:09:30,hd,youtube#video
r9imv1z82jQ,00:00:00,sd,youtube#video
Ss9SvcRORsk,00:10:31,hd,youtube#video
9Ql_Lr7nQN4,00:00:36,hd,youtube#video
u2HAzOhazEA,00:00:48,hd,youtube#video
FR_6qEu2kko,00:00:43,hd,youtube#video
lFdUVtCrEnk,00:00:39,hd,youtube#video
lsBzCZuKzbM,00:00:36,hd,youtube#video
TwRNsBpWmfg,00:00:40,hd,youtube#video
EzOQDazdjIw,00:00:46,hd,youtube#video
60TtNPlq3_k,00:00:40,hd,youtube#video
-w0JrQd17Hw,00:00:40,hd,youtube#video
ba13LRncDtQ,00:00:33,hd,youtube#video
jdqWbzwm1IU,00:00:38,hd,youtube#video
BL1w5chqt8U,00:00:39,hd,youtube#video
CTLgC4AaOtM,00:00:46,hd,youtube#video
Zgx6dwZRov4,00:00:37,hd,youtube#video
tJAzELZv4gE,00:00:38,hd,youtube#video
J5RRIF2a1NM,00:00:38,hd,youtube#video
7G_Kz5MOqps,00:15:18,hd,youtube#video
ZRbqNRChcds,00:01:00,hd,youtube#video
-fCTVK7v8UY,00:00:58,hd,youtube#video
-hsjqUcMDLo,00:00:37,hd,youtube#video
X7P2Yi-OU50,00:00:49,hd,youtube#video
1AS682khWwA,00:00:43,hd,youtube#video
LEY6RpAW98g,00:00:37,hd,youtube#video
